participant_id,age,sex,handedness
A00057005,21,MALE,RIGHT
A00057035,23,MALE,RIGHT
A00057182,21,FEMALE,RIGHT
A00057183,28,FEMALE,AMBIDEXTEROUS
A00057203,21,FEMALE,RIGHT
A00057235,21,FEMALE,RIGHT
A00057372,26,MALE,RIGHT
A00057405,13,FEMALE,RIGHT
A00057406,21,FEMALE,RIGHT
A00057444,23,FEMALE,RIGHT
A00057445,56,FEMALE,RIGHT
A00057725,7,FEMALE,RIGHT
A00057786,22,FEMALE,RIGHT
A00057808,27,FEMALE,RIGHT
A00057809,8,FEMALE,RIGHT
A00057862,10,FEMALE,RIGHT
A00057863,8,MALE,AMBIDEXTEROUS
A00057965,37,MALE,RIGHT
A00057967,11,MALE,AMBIDEXTEROUS
A00058004,8,MALE,RIGHT
A00058053,14,FEMALE,RIGHT
A00058060,8,FEMALE,RIGHT
A00058061,10,FEMALE,AMBIDEXTEROUS
A00058130,80,MALE,LEFT
A00058145,80,FEMALE,RIGHT
A00058214,24,FEMALE,RIGHT
A00058215,6,FEMALE,RIGHT
A00058218,38,FEMALE,RIGHT
A00058229,15,MALE,RIGHT
A00058318,72,FEMALE,RIGHT
A00058436,70,FEMALE,RIGHT
A00058503,42,FEMALE,RIGHT
A00058515,25,FEMALE,LEFT
A00058516,10,MALE,RIGHT
A00058537,14,MALE,RIGHT
A00058552,45,FEMALE,RIGHT
A00058570,9,FEMALE,RIGHT
A00058621,21,FEMALE,RIGHT
A00058644,71,FEMALE,RIGHT
A00058667,23,FEMALE,RIGHT
A00058685,17,MALE,RIGHT
A00058951,8,FEMALE,AMBIDEXTEROUS
A00058952,38,MALE,RIGHT
A00058998,71,FEMALE,RIGHT
A00058999,21,FEMALE,RIGHT
A00059074,35,FEMALE,RIGHT
A00059107,57,FEMALE,RIGHT
A00059109,11,MALE,AMBIDEXTEROUS
A00059325,12,MALE,AMBIDEXTEROUS
A00059327,11,FEMALE,RIGHT
A00059344,43,MALE,RIGHT
A00059346,42,FEMALE,AMBIDEXTEROUS
A00059361,69,MALE,RIGHT
A00059427,10,FEMALE,RIGHT
A00059428,34,FEMALE,RIGHT
A00059527,21,FEMALE,RIGHT
A00059662,57,FEMALE,AMBIDEXTEROUS
A00059663,71,FEMALE,RIGHT
A00059664,63,FEMALE,RIGHT
A00059733,9,MALE,RIGHT
A00059734,6,FEMALE,AMBIDEXTEROUS
A00059756,34,FEMALE,RIGHT
A00059845,44,MALE,RIGHT
A00059865,14,FEMALE,RIGHT
A00059875,8,FEMALE,AMBIDEXTEROUS
A00059911,26,FEMALE,RIGHT
A00059935,15,MALE,RIGHT
A00059990,18,MALE,RIGHT
A00060005,56,FEMALE,AMBIDEXTEROUS
A00060006,31,FEMALE,RIGHT
A00060093,27,MALE,RIGHT
A00060099,12,MALE,RIGHT
A00060100,10,MALE,RIGHT
A00060169,22,FEMALE,RIGHT
A00060170,65,MALE,RIGHT
A00060184,70,MALE,RIGHT
A00060185,68,FEMALE,RIGHT
A00060252,78,FEMALE,RIGHT
A00060259,32,FEMALE,RIGHT
A00060264,52,FEMALE,RIGHT
A00060265,11,FEMALE,RIGHT
A00060279,28,FEMALE,RIGHT
A00060280,16,MALE,LEFT
A00060301,75,MALE,RIGHT
A00060302,22,FEMALE,RIGHT
A00060306,76,MALE,RIGHT
A00060372,30,FEMALE,RIGHT
A00060383,55,MALE,AMBIDEXTEROUS
A00060384,12,FEMALE,RIGHT
A00060407,43,MALE,RIGHT
A00060429,10,FEMALE,RIGHT
A00060430,45,FEMALE,RIGHT
A00060431,72,MALE,LEFT
A00060471,25,MALE,RIGHT
A00060472,16,MALE,RIGHT
A00060480,32,MALE,RIGHT
A00060493,6,FEMALE,RIGHT
A00060503,13,MALE,LEFT
A00060516,23,MALE,RIGHT
A00060574,57,FEMALE,RIGHT
A00060575,66,FEMALE,RIGHT
A00060582,22,FEMALE,LEFT
A00060602,67,FEMALE,RIGHT
A00060603,11,MALE,RIGHT
A00060628,18,FEMALE,AMBIDEXTEROUS
A00060629,19,MALE,RIGHT
A00060630,28,FEMALE,RIGHT
A00060662,26,MALE,RIGHT
A00060664,12,FEMALE,RIGHT
A00060675,6,FEMALE,RIGHT
A00060773,23,FEMALE,RIGHT
A00060806,16,FEMALE,RIGHT
A00060848,27,FEMALE,RIGHT
A00060923,64,FEMALE,RIGHT
A00060925,24,FEMALE,RIGHT
A00061001,44,FEMALE,RIGHT
A00061021,62,FEMALE,RIGHT
A00061203,53,FEMALE,LEFT
A00061204,40,MALE,RIGHT
A00061210,57,MALE,RIGHT
A00061263,49,MALE,RIGHT
A00061274,76,MALE,RIGHT
A00061275,65,MALE,RIGHT
A00061276,37,FEMALE,RIGHT
A00061281,66,MALE,LEFT
A00061284,31,FEMALE,RIGHT
A00061298,17,FEMALE,LEFT
A00061387,22,MALE,RIGHT
A00061415,10,MALE,LEFT
A00061483,62,FEMALE,RIGHT
A00061485,64,FEMALE,RIGHT
A00061597,45,FEMALE,RIGHT
A00061598,28,FEMALE,RIGHT
A00061600,65,MALE,RIGHT
A00061634,51,FEMALE,RIGHT
A00061647,52,FEMALE,RIGHT
A00061656,65,MALE,LEFT
A00061666,69,FEMALE,LEFT
A00061709,23,MALE,RIGHT
A00061711,42,MALE,RIGHT
A00061714,16,MALE,RIGHT
A00061715,17,MALE,RIGHT
A00061725,74,FEMALE,RIGHT
A00061727,20,FEMALE,RIGHT
A00061728,66,FEMALE,RIGHT
A00061730,11,FEMALE,RIGHT
A00061749,13,FEMALE,RIGHT
A00061767,65,MALE,RIGHT
A00061787,69,FEMALE,RIGHT
A00061790,49,FEMALE,RIGHT
A00061802,54,MALE,RIGHT
A00061806,37,MALE,RIGHT
A00061881,19,MALE,RIGHT
A00061882,25,FEMALE,RIGHT
A00061883,14,MALE,RIGHT
A00061923,16,FEMALE,RIGHT
A00061962,51,FEMALE,RIGHT
A00062009,11,MALE,RIGHT
A00062081,12,MALE,RIGHT
A00062144,15,FEMALE,RIGHT
A00062146,14,FEMALE,RIGHT
A00062210,43,FEMALE,RIGHT
A00062248,30,FEMALE,RIGHT
A00062255,46,MALE,RIGHT
